
% --------------------------------------------- linhp318 ---------------------------------------------

% Name: lin318 ==> Original 318-city problem (Lin/Kernighan)
linhp318(1,:) = ... % X-Coordinates
    [63  , 94  , 142 , 173 , 205 , 213 , 244 , 276 , 283 , 362 , 394 , 449 , 480 , 512 , 528 , ...
     583 , 591 , 638 , 638 , 638 , 638 , 669 , 677 , 677 , 677 , 709 , 709 , 709 , 701 , 764 , ...
     811 , 843 , 858 , 890 , 921 , 992 , 1000, 1197, 1228, 1276, 1299, 1307, 1362, 1362, 1362, ...
     1425, 1425, 1425, 1417, 1488, 1488, 1488, 1551, 1551, 1551, 1614, 1614, 1614, 1732, 1811, ...
     1843, 1913, 1921, 2087, 2118, 2150, 2189, 2220, 2220, 2228, 2244, 2276, 2276, 2276, 2315, ...
     2315, 2315, 2331, 2346, 2346, 2346, 2362, 2402, 2402, 2480, 2496, 2528, 2559, 2630, 2638, ...
     2756, 2787, 2803, 2835, 2866, 2906, 2937, 2937, 2945, 3016, 3055, 3087, 606 , 1165, 1780, ...
     63  , 94  , 142 , 173 , 205 , 213 , 244 , 276 , 283 , 362 , 394 , 449 , 480 , 512 , 528 , ...
     583 , 591 , 638 , 638 , 638 , 638 , 669 , 677 , 677 , 677 , 709 , 709 , 709 , 701 , 764 , ...
     811 , 843 , 858 , 890 , 921 , 992 , 1000, 1197, 1228, 1276, 1299, 1307, 1362, 1362, 1362, ...
     1425, 1425, 1425, 1417, 1488, 1488, 1488, 1551, 1551, 1551, 1614, 1614, 1614, 1732, 1811, ...
     1843, 1913, 1921, 2087, 2118, 2150, 2189, 2220, 2220, 2228, 2244, 2276, 2276, 2276, 2315, ...
     2315, 2315, 2331, 2346, 2346, 2346, 2362, 2402, 2402, 2480, 2496, 2528, 2559, 2630, 2638, ...
     2756, 2787, 2803, 2835, 2866, 2906, 2937, 2937, 2945, 3016, 3055, 3087, 606 , 1165, 1780, ...
     63  , 94  , 142 , 173 , 205 , 213 , 244 , 276 , 283 , 362 , 394 , 449 , 480 , 512 , 528 , ...
     583 , 591 , 638 , 638 , 638 , 638 , 669 , 677 , 677 , 677 , 709 , 709 , 709 , 701 , 764 , ...
     811 , 843 , 858 , 890 , 921 , 992 , 1000, 1197, 1228, 1276, 1299, 1307, 1362, 1362, 1362, ...
     1425, 1425, 1425, 1417, 1488, 1488, 1488, 1551, 1551, 1551, 1614, 1614, 1614, 1732, 1811, ...
     1843, 1913, 1921, 2087, 2118, 2150, 2189, 2220, 2220, 2228, 2244, 2276, 2276, 2276, 2315, ...
     2315, 2315, 2331, 2346, 2346, 2346, 2362, 2402, 2402, 2480, 2496, 2528, 2559, 2630, 2638, ...
     2756, 2787, 2803, 2835, 2866, 2906, 2937, 2937, 2945, 3016, 3055, 3087, 606 , 1165, 1780, ...
     1417, 1496, 1693];
linhp318(2,:) = ... % Y-Coordinates
    [71  , 71  , 370 , 1276, 1213, 69  , 69  , 630 , 732 , 69  , 69  , 370 , 1276, 1213, 157 , ...
     630 , 732 , 654 , 496 , 314 , 142 , 142 , 315 , 496 , 654 , 654 , 496 , 315 , 142 , 220 , ...
     189 , 173 , 370 , 1276, 1213, 630 , 732 , 1276, 1213, 205 , 630 , 732 , 654 , 496 , 291 , ...
     654 , 496 , 291 , 173 , 291 , 496 , 654 , 654 , 496 , 291 , 291 , 496 , 654 , 189 , 1276, ...
     1213, 630 , 732 , 370 , 1276, 1213, 205 , 189 , 630 , 732 , 142 , 315 , 496 , 654 , 654 , ...
     496 , 315 , 142 , 315 , 496 , 654 , 142 , 157 , 220 , 142 , 370 , 1276, 1213, 630 , 732 , ...
     69  , 69  , 370 , 1276, 1213, 69  , 69  , 630 , 732 , 1276, 69  , 69  , 220 , 370 , 370 , ...
     1402, 1402, 1701, 2607, 2544, 1400, 1400, 1961, 2063, 1400, 1400, 1701, 2607, 2544, 1488, ...
     1961, 2063, 1985, 1827, 1645, 1473, 1473, 1646, 1827, 1985, 1985, 1827, 1646, 1473, 1551, ...
     1520, 1504, 1701, 2607, 2544, 1961, 2063, 2607, 2544, 1536, 1961, 2063, 1985, 1827, 1622, ...
